sku,product.type,name,short_description,description,Brand,status,visibility,weight,stock.qty,stock.is_in_stock,url_key,condition,protein_source,price,,price_view,tax_class_id,product.attribute_set,size_dogfood_2x5kg_7kg_13kg,cpsp_enable,cpsp_expand_prices,cpsp_show_lowest,meta_title,meta_description,ingredients,,,
Sciencedietfelinelight,configurable,Hill's Science Diet Adult Feline Light,Hill's Science Diet Adult Light cat food provides precisely balanced nutrition to help achieve ideal weight. Science DIet Adult Light provides fewer calories than the Hill's  Original formula's and contains L-carnitine to help your cat turn fat into energy. It also has a high fibre content to keep her satisfied between meals keeping your feline friend happy and healthy. ,"Recommended For:Adult cats (1 - 6 years of age) that require fewer calories (i.e., cats that are less active, neutered or otherwise prone to excess weight gain).",Science Diet,Enabled,"Catalog, Search",,100,In Stock,hills-science-diet-feline-adult light,Weight Control,Chicken,29.95,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,,Yes,Yes,Yes,Hill's Science Diet Adult Feline Light,Hill's Science Diet Adult Light cat food provides precisely balanced nutrition to help achieve ideal weight. Buy Now from Net To Pet.,"Brewers Rice, Corn Gluten Meal, Chicken By-Product Meal, Whole Grain Corn, Oat Fiber, Chicken Liver Flavor, Soybean Mill Run, Animal Fat (preserved with Mixed Tocopherols and Citric Acid), Powdered Cellulose , Lactic Acid, Dried Beet Pulp, Potassium Chloride, Calcium Sulfate, Soybean Oil, Choline Chloride, Taurine, Iodized Salt, Vitamin E Supplement, vitamins (L-Ascorbyl-2-Polyphosphate (source of vitamin C), Vitamin E Supplement, Niacin, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Fish Oil, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), L-Carnitine, preserved with Mixed Tocopherols and Citric Acid, Phosphoric Acid, Beta-Carotene, Rosemary Extract.",,,
CPS0265,simple,Hill's Science Diet Feline Light 2kg ,Hill's Science Diet Adult Light cat food provides precisely balanced nutrition to help achieve ideal weight. Science DIet Adult Light provides fewer calories than the Hill's  Original formula's and contains L-carnitine to help your cat turn fat into energy. It also has a high fibre content to keep her satisfied between meals keeping your feline friend happy and healthy. ,"Recommended For:Adult cats (1 - 6 years of age) that require fewer calories (i.e., cats that are less active, neutered or otherwise prone to excess weight gain).",Science Diet,Enabled,Not Visible Individually,2,100,In Stock,,,,29.95,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,2kg,,,,,,,,,
CPS0285,simple,Hill's Science Diet Feline Light 3.5kg,Hill's Science Diet Adult Light cat food provides precisely balanced nutrition to help achieve ideal weight. Science DIet Adult Light provides fewer calories than the Hill's  Original formula's and contains L-carnitine to help your cat turn fat into energy. It also has a high fibre content to keep her satisfied between meals keeping your feline friend happy and healthy. ,"Recommended For:Adult cats (1 - 6 years of age) that require fewer calories (i.e., cats that are less active, neutered or otherwise prone to excess weight gain).",Science Diet,Enabled,Not Visible Individually,3.5,100,In Stock,,,,42.5,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,3.5kg,,,,,,,,,
sciencedietfelineperfectweight,configurable,Hill's Science Diet Feline Perfect Weight,Hill's Science Diet Adult Perfect Weight dry cat food provides breakthrough nutrition formulated to help your cat achieve a healthy weight and improve quality of life. Science Diet Healthy weight adds to quality of life and life expectancy and is ideal for multi-cat households with cats of different breeds & weights. Perfect Weight provides 100% precisely balanced nutrition keeping your cat happy and healthy.,"Recommended For Adult cats that require fewer calories (i.e., cats that are less active, neutered or otherwise prone to excess weight gain).",Science Diet,Enabled,"Catalog, Search",,100,In Stock,hills-science-diet-feline-perfect-weight,Weight Control,,23.5,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,,Yes,Yes,Yes,Hill's Science Diet Adult Perfect Weight,Hill's Science Diet Adult Perfect Weight dry cat food provides breakthrough nutrition. Buy Now from Net To Pet.,"Chicken, Brewers Rice, Corn Gluten Meal, Wheat Gluten, Powdered Cellulose, Chicken Meal, Tomato Pomace, Dried Beet Pulp, Flaxseed, Chicken Fat, Chicken Liver Flavor, Coconut Oil, Lactic Acid, Calcium Sulfate, L-Lysine, Potassium Chloride, Choline Chloride, Dried Carrots, DL-Methionine, Taurine, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), minerals (Manganese Sulfate, Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Iodized Salt, Dicalcium Phosphate, L-Carnitine, Oat Fiber, Mixed Tocopherols for freshness, Beta-Carotene, Natural Flavors, Apples, Broccoli, Cranberries, Green Peas.",,,
CPS0290,simple,Hill's Science Diet Feline Perfect Weight 1.3kg,Hill's Science Diet Adult Perfect Weight dry cat food provides breakthrough nutrition formulated to help your cat achieve a healthy weight and improve quality of life. Science Diet Healthy weight adds to quality of life and life expectancy and is ideal for multi-cat households with cats of different breeds & weights. Perfect Weight provides 100% precisely balanced nutrition keeping your cat happy and healthy.,"Recommended For Adult cats that require fewer calories (i.e., cats that are less active, neutered or otherwise prone to excess weight gain).",Science Diet,Enabled,Not Visible Individually,1.3,100,In Stock,,,,23.5,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,1.3kg,,,,,,,,,
CPS0295,simple,Hill's Science Diet Feline Perfect Weight 3.17kg,Hill's Science Diet Adult Perfect Weight dry cat food provides breakthrough nutrition formulated to help your cat achieve a healthy weight and improve quality of life. Science Diet Healthy weight adds to quality of life and life expectancy and is ideal for multi-cat households with cats of different breeds & weights. Perfect Weight provides 100% precisely balanced nutrition keeping your cat happy and healthy.,"Recommended For Adult cats that require fewer calories (i.e., cats that are less active, neutered or otherwise prone to excess weight gain).",Science Diet,Enabled,Not Visible Individually,3.17,100,In Stock,,,,40.95,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,3.17kg,,,,,,,,,
CPS0300,simple,Hill's Science Diet Feline Hairball Light 1.6kg,"Hill's Science Diet Adult Hairball Control Light cat food provides precisely balanced nutrition to help avoid hairball formation for cats who need a lighter, healthier lifestyle. Science Diet Hairball Control Light contains L-carnitine helps burn fat. Real chicken #1 with natural ingredients and no chicken by-product meal. ",Recommended For Adult cats 1 -6 years of age that are prone to hairballs and weight gain.,Science Diet,Enabled,"Catalog, Search",1.6,100,In Stock,hills-science-diet-feline-hairball-light,,,28.75,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,1.6kg,,,,Hill's Science Diet Feline Hairball Light,"Hill's Science Diet Adult Hairball Control Light cat food provides precisely balanced nutrition to help avoid hairball formation for cats who need a lighter, healthier lifestyle. Buy Now from Net To Pet.","Chicken, Brewers Rice, Corn Gluten Meal, Wheat Gluten, Powdered Cellulose, Whole Grain Wheat, Chicken Liver Flavor, Soybean Oil, Dried Beet Pulp, Calcium Sulfate, Lactic Acid, Potassium Chloride, Pork Fat, Fish Oil, Choline Chloride, Iodized Salt, Taurine, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), L-Carnitine, Oat Fiber, Mixed Tocopherols for freshness, Beta-Carotene, Phosphoric Acid, Natural Flavors, Dried Apples, Dried Broccoli, Dried Carrots, Dried Cranberries, Dried Peas.",,,
sciencedietfelineoralcare,configurable,Hill's Science Diet Feline Adult Oral Care,"Hill's Science Diet Adult Hairball Control Light cat food provides precisely balanced nutrition to help avoid hairball formation for cats who need a lighter, healthier lifestyle. Science Diet Hairball Control Light contains L-carnitine helps burn fat. Real chicken #1 with natural ingredients and no chicken by-product meal. ",Recommended For Adult cats 1 -6 years of age that are prone to hairballs and weight gain.,Science Diet,Enabled,"Catalog, Search",,100,In Stock,hills-science-diet-adult-oral-care,Dental,Chicken,31.5,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,,Yes,Yes,Yes,Hill's Science Diet Feline Oral Care,Hill's Science Diet Adult Hairball Control Light cat food provides precisely balanced nutrition to help avoid hairball formation for cats. Buy Now from Net To Pet ,"Chicken By-Product Meal, Brewers Rice, Corn Gluten Meal, Pork Fat, Powdered Cellulose, Whole Grain Corn, Lactic Acid, Chicken Liver Flavor, Soybean Oil, Potassium Chloride, Choline Chloride, Calcium Carbonate, DL-Methionine, Iodized Salt, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Taurine, Calcium Sulfate, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Mixed Tocopherols for freshness, Beta Carotene, Natural Flavors.",,,
CPS0320,simple,Hill's Science Diet Feline Adult Oral Care 2kg,"Hill's Science Diet Adult Hairball Control Light cat food provides precisely balanced nutrition to help avoid hairball formation for cats who need a lighter, healthier lifestyle. Science Diet Hairball Control Light contains L-carnitine helps burn fat. Real chicken #1 with natural ingredients and no chicken by-product meal. ",Recommended For Adult cats 1 -6 years of age that are prone to hairballs and weight gain.,Science Diet,Enabled,Not Visible Individually,2,100,In Stock,,,,31.5,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,2kg,,,,,,,,,
CPS0335,simple,Hill's Science Diet Feline Adult Oral Care 4kg,"Hill's Science Diet Adult Hairball Control Light cat food provides precisely balanced nutrition to help avoid hairball formation for cats who need a lighter, healthier lifestyle. Science Diet Hairball Control Light contains L-carnitine helps burn fat. Real chicken #1 with natural ingredients and no chicken by-product meal. ",Recommended For Adult cats 1 -6 years of age that are prone to hairballs and weight gain.,Science Diet,Enabled,Not Visible Individually,4,100,In Stock,,,,46.95,,As low as,Taxable Goods,size_dogfood_2x5kg_7kg_13kg,4kg,,,,,,,,,
